month_day,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
10-12,15.933333333333332,18.566666666666666,15.080000000000002,14.117391304347825,16.66086956521739,11.995652173913042,13.92608695652174,15.891304347826088,19.604347826086954,8.734615384615385,16.103846153846153,15.526666666666667,14.343333333333334,12.979999999999999,13.15,15.85925925925926,16.455555555555556,11.74074074074074,16.324137931034482,9.664285714285713,22.932142857142857,
10-13,15.799999999999999,18.51111111111111,15.0,14.08695652173913,16.347826086956523,12.021739130434783,15.717391304347826,15.57391304347826,19.369565217391305,8.692307692307692,16.015384615384615,15.370000000000001,14.193333333333333,12.946666666666665,13.016666666666667,15.537037037037036,16.48148148148148,11.866666666666665,16.52413793103448,9.582142857142857,22.52857142857143,
10-14,15.566666666666668,18.433333333333334,15.065000000000001,13.965217391304348,16.104347826086954,12.700000000000001,17.226086956521737,15.404347826086957,19.047826086956523,8.611538461538462,15.830769230769231,15.283333333333333,14.09,13.223333333333333,12.993333333333334,14.95185185185185,16.444444444444443,11.685185185185185,16.358620689655172,9.528571428571428,22.396428571428572,
10-15,15.466666666666667,18.344444444444445,14.985,15.58695652173913,15.930434782608694,12.891304347826088,17.078260869565216,15.204347826086956,18.669565217391302,8.926923076923076,15.573076923076922,15.186666666666667,13.94,13.976666666666667,13.236666666666668,14.592592592592593,16.414814814814815,11.477777777777776,16.162068965517243,9.489285714285714,22.150000000000002,
10-16,15.533333333333333,18.355555555555554,14.785,16.90869565217391,15.743478260869566,13.0,16.878260869565217,15.030434782608696,20.98,10.61923076923077,15.43846153846154,15.013333333333332,13.84,17.14,13.246666666666666,14.603703703703705,16.455555555555556,11.44814814814815,16.382758620689657,9.442857142857141,21.928571428571427,
10-17,15.533333333333333,19.844444444444445,14.919999999999998,16.965217391304346,15.68695652173913,12.930434782608694,16.795652173913044,14.85217391304348,19.556521739130435,10.03076923076923,15.319230769230769,14.963333333333333,14.776666666666667,18.936666666666667,13.266666666666667,14.670370370370371,16.41111111111111,11.47037037037037,16.400000000000002,9.360714285714286,21.646428571428572,
10-18,15.433333333333332,21.344444444444445,14.875,16.90434782608696,17.91,13.4,19.565217391304348,14.61304347826087,19.156521739130437,9.907692307692308,15.13076923076923,14.79,15.639999999999999,19.386666666666667,13.323333333333332,14.637037037037036,16.33703703703704,11.38888888888889,16.986206896551725,9.421428571428573,21.510714285714283,
10-19,15.366666666666667,23.422222222222224,14.785,17.59565217391304,22.508695652173916,13.64782608695652,19.747826086956522,14.339130434782609,18.769565217391303,9.946153846153846,15.084615384615384,14.673333333333334,18.009999999999998,19.873333333333335,13.253333333333334,14.677777777777779,16.437037037037037,11.32962962962963,16.50344827586207,9.339285714285714,21.271428571428572,
10-20,15.299999999999999,23.177777777777777,14.565000000000001,17.191304347826087,22.469565217391303,13.38695652173913,19.143478260869564,13.88,18.534782608695654,9.761538461538462,15.0,14.703333333333335,18.676666666666666,19.973333333333336,13.55,14.685185185185185,16.692592592592593,11.248148148148148,16.613793103448277,9.282142857142857,21.060714285714287,
10-21,15.199999999999998,23.191666666666666,14.545000000000002,16.85217391304348,22.865000000000002,12.947826086956523,18.73913043478261,14.243478260869566,18.217391304347824,9.592307692307692,15.042307692307693,15.196666666666665,18.336666666666666,19.86,13.803333333333335,14.785185185185185,17.522222222222222,11.237037037037036,16.906896551724138,9.450000000000001,20.832142857142856,
10-22,15.133333333333333,23.28333333333333,14.45,16.617391304347827,22.58695652173913,12.656521739130437,18.473913043478262,14.095652173913043,17.94782608695652,9.842307692307692,14.934615384615386,15.323333333333332,18.076666666666668,19.92,15.69,16.17037037037037,17.944444444444443,10.77037037037037,17.13448275862069,11.417857142857143,21.089285714285715,
10-23,14.833333333333334,25.05,14.475,16.57391304347826,23.347826086956523,12.52608695652174,21.204347826086956,15.369565217391305,17.717391304347824,9.903846153846153,14.884615384615385,15.526666666666667,17.90666666666667,20.123333333333335,16.05,17.14814814814815,17.692592592592593,10.7,17.493103448275864,11.435714285714285,20.828571428571426,
10-24,14.566666666666668,24.775000000000002,14.395,16.517391304347825,23.76521739130435,12.4,20.356521739130436,23.504347826086956,17.621739130434783,9.734615384615385,14.919230769230769,15.379999999999999,17.779999999999998,20.746666666666666,16.133333333333333,17.18888888888889,17.444444444444443,10.796296296296296,23.43103448275862,12.182142857142859,20.57857142857143,
10-25,14.333333333333334,24.825,14.39,16.0,23.895652173913046,12.443478260869565,19.495652173913044,23.108695652173914,17.039130434782606,9.75,14.88076923076923,15.223333333333333,17.61,20.956666666666667,16.12333333333333,17.066666666666666,17.455555555555556,10.222222222222221,25.820689655172416,12.721428571428572,22.417857142857144,
10-26,14.466666666666667,25.53333333333333,14.41,15.817391304347826,23.426086956521736,12.482608695652175,19.317391304347826,22.808695652173913,16.41304347826087,9.661538461538461,14.869230769230768,15.536666666666667,17.303333333333335,20.75,16.14,17.02962962962963,17.203703703703702,10.055555555555555,26.403448275862072,12.535714285714286,22.385714285714283,
10-27,14.566666666666668,26.974999999999998,15.465,15.791304347826086,23.11304347826087,12.48695652173913,19.221739130434784,22.652173913043477,15.895652173913044,10.434615384615386,14.78076923076923,15.46,17.14,20.61,16.143333333333334,16.9037037037037,16.244444444444444,10.092592592592593,27.086206896551722,12.232142857142858,22.099999999999998,
10-28,14.666666666666666,27.84166666666667,15.465,15.695652173913043,23.017391304347825,12.639130434782608,18.73478260869565,23.03478260869565,15.773913043478261,13.803846153846154,15.365384615384615,15.266666666666667,17.496666666666666,24.973333333333336,16.07,16.881481481481483,15.751851851851852,10.233333333333334,26.851724137931036,12.278571428571428,21.607142857142858,
10-29,13.966666666666667,28.041666666666668,17.23,15.57391304347826,25.313043478260873,12.317391304347826,18.330434782608698,23.52173913043478,15.830434782608696,13.534615384615384,15.75,15.34,19.16,24.456666666666667,16.013333333333332,16.603703703703705,14.170370370370371,10.322222222222221,26.682758620689654,12.721428571428572,20.853571428571428,
10-30,13.766666666666667,28.09166666666667,16.869999999999997,14.57391304347826,25.23478260869565,12.365217391304347,20.508695652173913,24.830434782608698,15.882608695652175,13.538461538461538,15.792307692307693,15.57,19.076666666666664,26.873333333333335,15.826666666666666,16.192592592592593,13.492592592592594,10.41111111111111,26.79310344827586,13.132142857142856,20.435714285714287,
10-31,13.6,27.866666666666664,16.935,13.856521739130434,24.313043478260873,12.417391304347827,20.860869565217392,25.039130434782606,16.178260869565218,14.965384615384616,16.1,15.620000000000001,19.0,25.863333333333333,15.536666666666667,16.174074074074074,13.277777777777779,10.425925925925926,26.589655172413792,13.685714285714285,20.457142857142856,
11-01,13.333333333333334,27.45,18.09,13.634782608695653,24.0,16.83913043478261,20.617391304347827,24.856521739130436,15.569565217391306,15.165384615384616,16.246153846153845,16.226666666666667,19.78666666666667,25.82,15.533333333333333,17.07777777777778,13.144444444444444,10.351851851851851,27.879310344827587,13.764285714285714,20.696428571428573,
11-02,13.266666666666666,27.175,17.59,15.169565217391304,23.343478260869563,20.213043478260868,20.408695652173915,25.06086956521739,14.269565217391303,14.673076923076923,16.576923076923077,16.216666666666665,20.496666666666666,25.433333333333334,15.483333333333333,17.144444444444442,13.151851851851852,10.374074074074075,27.21379310344828,13.778571428571428,21.62142857142857,
11-03,13.233333333333334,27.75,17.675,16.195652173913043,22.856521739130436,20.07391304347826,20.12608695652174,25.47391304347826,14.395652173913044,14.45,16.446153846153848,16.703333333333333,20.683333333333334,25.153333333333332,15.49,16.918518518518518,13.55925925925926,10.366666666666665,26.775862068965516,13.757142857142856,21.889285714285712,
11-04,13.366666666666667,27.875,18.375,16.921739130434784,22.58695652173913,19.630434782608695,19.952173913043477,25.582608695652173,14.317391304347826,14.365384615384615,16.3,17.3,21.196666666666665,25.063333333333333,16.26,16.918518518518518,13.648148148148149,10.307407407407409,26.53448275862069,13.782142857142858,22.182142857142857,
11-05,13.366666666666665,27.775000000000002,18.69,17.226086956521737,22.26086956521739,19.36521739130435,20.230434782608697,25.417391304347827,14.134782608695653,14.357692307692307,16.246153846153845,19.316666666666666,21.456666666666667,24.95,16.66,16.496296296296297,13.862962962962964,10.314814814814815,26.279310344827586,14.464285714285714,22.478571428571428,
11-06,13.299999999999999,27.650000000000002,20.925,17.31304347826087,22.004347826086956,19.7,20.356521739130436,25.156521739130437,14.26086956521739,14.284615384615384,16.93076923076923,20.19333333333333,21.63,24.953333333333333,16.673333333333332,16.05925925925926,14.074074074074074,10.3,26.32758620689655,15.103571428571428,22.83703703703704,
11-07,13.299999999999999,27.875,21.1,17.443478260869565,21.721739130434784,20.504347826086956,20.286956521739132,26.643478260869564,14.217391304347826,14.184615384615386,17.873076923076923,20.25,21.493333333333332,24.873333333333335,16.323333333333334,14.925925925925926,14.148148148148149,10.225925925925926,26.058620689655175,15.525,22.885185185185183,
11-08,13.4,28.625,21.235,18.756521739130434,21.56086956521739,21.02173913043478,19.63478260869565,26.195652173913043,13.891304347826088,14.065384615384614,17.98846153846154,20.173333333333336,21.603333333333335,24.756666666666664,16.29,13.774074074074074,14.277777777777779,10.05925925925926,25.606896551724137,15.596428571428572,22.566666666666666,
11-09,13.4,29.933333333333334,21.080000000000002,18.87391304347826,21.804347826086957,23.152173913043477,19.117391304347827,25.817391304347826,13.652173913043478,13.75,17.803846153846152,20.3,21.883333333333333,24.676666666666666,17.696666666666665,13.137037037037036,15.154166666666667,10.02962962962963,27.03103448275862,15.803571428571429,21.985185185185188,
11-10,13.299999999999999,30.233333333333334,21.93,18.434782608695652,23.008695652173916,23.039130434782606,19.156521739130433,25.830434782608698,13.456521739130435,13.561538461538463,17.68846153846154,19.793333333333333,22.026666666666664,24.583333333333332,18.163333333333334,12.8,14.596296296296297,10.014814814814814,26.73448275862069,15.953571428571427,21.74814814814815,
11-11,13.299999999999999,30.59166666666667,21.345,18.42608695652174,23.169565217391302,23.17391304347826,19.2,25.730434782608693,12.49,13.430769230769231,17.592307692307692,18.336666666666666,22.01,24.436666666666667,18.273333333333333,12.207407407407409,14.18148148148148,10.08888888888889,26.979310344827585,15.932142857142859,21.58888888888889,
11-12,13.166666666666666,30.224999999999998,20.744999999999997,18.139130434782608,23.426086956521736,25.160869565217393,19.16086956521739,25.686956521739127,13.452173913043477,13.296153846153846,17.873076923076923,17.243333333333332,21.88,24.396666666666665,18.316666666666666,11.488888888888889,14.455555555555556,9.988888888888889,26.731034482758623,15.964285714285714,21.455555555555552,
11-13,13.333333333333334,29.75,20.895,20.656521739130437,24.79565217391304,26.256521739130434,18.695652173913043,25.52608695652174,13.578260869565218,13.242307692307692,17.96153846153846,17.353333333333335,21.776666666666664,24.236666666666668,18.27,11.537037037037036,14.459259259259259,9.988888888888889,26.517241379310345,15.932142857142859,21.644444444444442,
11-14,13.733333333333334,29.383333333333336,22.285,20.830434782608698,23.730434782608693,24.97826086956522,18.421739130434784,27.97826086956522,13.58695652173913,13.492307692307692,17.75,17.993333333333332,21.803333333333335,24.15666666666667,18.483333333333334,11.44074074074074,14.622222222222222,10.103703703703705,26.36896551724138,15.910714285714286,21.333333333333332,
11-15,14.133333333333333,29.11666666666667,21.240000000000002,20.434782608695652,23.87391304347826,24.565217391304348,18.043478260869566,28.313043478260873,13.547826086956523,13.376923076923077,17.392307692307693,18.14,21.826666666666664,24.066666666666666,19.61,11.42222222222222,14.837037037037037,11.677777777777779,26.3,15.796428571428573,21.27037037037037,
11-16,14.366666666666667,28.90833333333333,20.445,21.7,25.117391304347827,24.404347826086955,17.695652173913043,27.643478260869564,13.31304347826087,13.680769230769231,17.31923076923077,17.913333333333334,21.446666666666665,23.89333333333333,24.276666666666664,11.444444444444445,14.833333333333334,11.614814814814816,25.975862068965515,15.65,22.374074074074073,
11-17,14.533333333333333,28.666666666666668,19.509999999999998,21.995652173913044,25.47826086956522,24.47391304347826,17.578260869565216,27.339130434782607,13.730434782608697,15.411538461538461,17.126923076923077,17.62,21.546666666666667,23.19333333333333,23.63,11.125925925925925,14.825925925925926,12.47037037037037,24.817241379310346,15.560714285714285,22.27777777777778,
11-18,14.833333333333334,28.458333333333332,18.69,22.1,25.35217391304348,24.404347826086955,17.42608695652174,27.05217391304348,14.06086956521739,15.784615384615384,17.073076923076922,17.473333333333336,21.69333333333333,22.81,23.259999999999998,10.588888888888889,14.877777777777778,14.014814814814814,25.573076923076922,15.428571428571429,23.12222222222222,
11-19,18.866666666666667,27.866666666666664,18.47,22.48695652173913,25.05652173913043,24.186956521739127,16.956521739130434,26.839130434782607,15.435294117647057,16.476923076923075,17.892307692307693,17.459999999999997,22.333333333333332,22.776666666666664,22.966666666666665,10.24074074074074,14.959259259259259,14.225925925925926,25.662068965517243,15.171428571428573,23.23333333333333,
11-20,18.533333333333335,25.866666666666664,18.09,23.356521739130436,24.456521739130434,24.0,16.795652173913044,26.834782608695654,14.11304347826087,16.584615384615383,18.415384615384617,17.52,22.7,22.970000000000002,23.733333333333334,9.81851851851852,14.714814814814815,14.085185185185185,25.43793103448276,14.975,23.166666666666668,
11-21,17.866666666666664,23.05,17.78,23.347826086956523,23.05652173913043,22.839130434782607,16.743478260869566,26.752173913043475,13.960869565217392,17.21153846153846,18.0,17.506666666666668,22.290000000000003,23.176666666666666,26.71333333333333,10.148148148148149,14.37037037037037,13.774074074074074,24.582758620689653,14.867857142857144,23.01111111111111,
11-22,17.400000000000002,22.63333333333333,17.575,22.969565217391303,21.930434782608696,22.343478260869563,16.421739130434784,26.695652173913043,13.98695652173913,16.661538461538463,17.296153846153846,19.733333333333334,21.966666666666665,22.836666666666666,28.009999999999998,10.403703703703703,14.274074074074074,13.344444444444445,23.662068965517243,14.703571428571427,22.874074074074073,
11-23,17.066666666666666,22.34166666666667,17.125,22.51304347826087,21.16086956521739,21.791304347826088,16.02608695652174,26.791304347826088,13.995652173913046,16.338461538461537,16.54230769230769,20.116666666666667,21.903333333333332,22.666666666666668,28.846666666666668,11.003703703703705,13.959259259259259,13.303703703703704,23.017241379310345,14.717857142857142,22.95925925925926,
11-24,16.866666666666667,22.75,16.855,21.786956521739132,20.3,20.934782608695652,15.834782608695651,26.717391304347824,14.104347826086956,16.242307692307694,15.757692307692308,20.11,21.976666666666667,22.45,28.71,11.38888888888889,13.703703703703704,13.337037037037037,21.844827586206897,14.614285714285714,22.977777777777778,
11-25,16.599999999999998,22.916666666666668,19.785,20.97391304347826,19.756521739130434,20.543478260869566,15.821739130434782,26.55217391304348,13.978260869565217,16.626923076923077,15.438461538461537,20.529999999999998,22.206666666666667,22.33,28.263333333333332,11.574074074074074,13.55925925925926,13.085185185185185,21.196551724137933,14.60357142857143,22.774074074074072,
11-26,16.566666666666666,23.083333333333332,19.785,20.52173913043478,18.895652173913046,20.695652173913043,15.691304347826087,26.347826086956523,13.634782608695653,15.542307692307693,14.634782608695653,20.71333333333333,22.263333333333332,21.966666666666665,28.153333333333332,11.37037037037037,13.488888888888889,13.085185185185185,21.406896551724138,14.682142857142859,22.55925925925926,
11-27,16.400000000000002,23.383333333333336,19.625,20.517391304347825,18.895652173913046,20.82608695652174,15.9,26.343478260869563,13.621739130434783,14.95,15.403846153846153,21.846666666666668,22.183333333333334,21.976666666666667,28.753333333333334,11.496296296296295,13.474074074074075,12.911111111111111,21.50344827586207,14.646428571428572,22.255555555555556,
11-28,16.400000000000002,23.366666666666664,19.630000000000003,20.48695652173913,18.469565217391306,20.491304347826087,15.569565217391306,26.32608695652174,13.778260869565216,14.676923076923078,15.21923076923077,22.48,22.023333333333333,22.05666666666667,27.916666666666668,11.77037037037037,13.474074074074075,12.577777777777776,21.610344827586207,14.725,21.9,
11-29,28.46666666666667,23.016666666666666,19.615000000000002,20.347826086956523,18.421739130434784,20.85217391304348,15.26086956521739,25.96521739130435,13.826086956521738,14.957692307692307,14.711538461538462,22.763333333333332,21.88,22.136666666666667,26.94333333333333,11.92962962962963,13.466666666666667,12.4,21.482758620689655,14.696428571428571,21.703703703703702,
11-30,28.53333333333333,22.416666666666668,19.619999999999997,20.16521739130435,18.05217391304348,21.06086956521739,15.030434782608696,25.930434782608696,13.721739130434784,16.638461538461538,14.823076923076922,22.2,21.73,22.183333333333334,26.533333333333335,12.055555555555555,13.44814814814815,12.251851851851852,21.341379310344827,14.764285714285714,21.64074074074074,
12-01,28.133333333333336,22.483333333333334,20.490000000000002,20.143478260869564,17.713043478260868,21.034782608695654,14.826086956521738,25.97826086956522,13.1,17.396153846153847,14.992307692307692,22.39333333333333,21.573333333333334,22.18,26.44333333333333,12.248148148148148,13.481481481481481,12.096296296296297,21.46551724137931,14.828571428571427,21.677777777777777,
12-02,27.7,22.333333333333332,21.275,20.056521739130435,17.62608695652174,21.152173913043477,14.343478260869563,26.165217391304346,13.5,19.015384615384615,15.11923076923077,22.313333333333333,21.506666666666668,22.14333333333333,26.263333333333332,12.366666666666665,13.555555555555555,11.87037037037037,21.682758620689654,14.964285714285714,21.72962962962963,
12-03,27.400000000000002,21.891666666666666,21.244999999999997,19.61304347826087,17.965217391304346,20.85217391304348,13.708695652173914,27.25,12.01304347826087,18.51923076923077,15.080769230769231,22.926666666666666,21.59,22.123333333333335,26.173333333333336,12.433333333333334,13.696296296296296,11.637037037037036,21.43793103448276,15.12142857142857,22.12962962962963,
12-04,26.900000000000002,21.383333333333336,21.335,19.36521739130435,19.643478260869564,19.682608695652174,13.065217391304348,26.608695652173914,11.969565217391304,24.407692307692308,14.61923076923077,23.686666666666667,21.666666666666668,22.14333333333333,26.029999999999998,12.537037037037036,13.75925925925926,11.37037037037037,21.26206896551724,15.160714285714286,22.71851851851852,
12-05,29.099999999999998,21.125,21.18,19.304347826086957,19.86521739130435,19.065217391304348,12.713043478260868,26.73913043478261,11.721739130434784,25.576923076923077,14.21923076923077,24.0,21.69,22.126666666666665,25.486666666666668,12.64074074074074,13.792592592592591,11.18888888888889,20.782758620689656,15.307142857142859,23.237037037037037,
12-06,33.266666666666666,21.133333333333333,21.06,19.252173913043478,19.97391304347826,18.678260869565218,12.43913043478261,26.97391304347826,11.521739130434783,25.042307692307695,13.876923076923077,24.34,21.703333333333333,21.95,25.11,12.748148148148148,13.848148148148148,11.05925925925926,20.52758620689655,15.346428571428572,23.50740740740741,
12-07,32.03333333333333,21.275000000000002,20.9,19.169565217391302,20.1,18.230434782608697,12.243478260869566,27.069565217391304,11.460869565217392,24.01153846153846,13.734615384615385,24.263333333333332,22.956666666666667,21.77,24.793333333333333,12.796296296296296,13.866666666666665,11.033333333333333,20.36896551724138,15.292857142857143,23.71851851851852,
12-08,31.5,26.625,20.595,19.08695652173913,20.343478260869563,17.995652173913044,12.01304347826087,27.117391304347827,11.304347826086957,23.48076923076923,13.584615384615384,24.173333333333336,23.323333333333334,21.736666666666668,24.48,12.785185185185185,13.988888888888889,10.911111111111111,20.082758620689653,15.15,23.81111111111111,
12-09,31.099999999999998,27.525000000000002,20.19,19.039130434782606,20.108695652173914,17.530434782608694,11.765217391304347,27.317391304347826,11.152173913043478,23.015384615384615,13.36923076923077,24.396666666666665,23.509999999999998,21.993333333333332,23.793333333333333,12.755555555555555,14.011111111111111,10.885185185185184,19.79310344827586,15.157142857142857,23.918518518518518,
12-10,30.833333333333332,27.7,19.9,19.130434782608695,19.85217391304348,17.33913043478261,11.295652173913044,27.421739130434784,11.095652173913043,22.784615384615385,13.223076923076924,24.720000000000002,23.723333333333336,23.223333333333336,23.28666666666667,12.78888888888889,13.966666666666667,10.78888888888889,19.49310344827586,15.217857142857143,24.01111111111111,
12-11,30.7,28.016666666666666,19.71,19.247826086956522,19.208695652173912,17.269565217391303,11.343478260869563,27.88695652173913,10.895652173913044,22.392307692307693,13.873913043478263,25.55666666666667,23.773333333333333,23.41,22.883333333333333,12.81851851851852,14.022222222222224,10.677777777777779,19.396551724137932,15.310714285714285,24.08888888888889,
12-12,30.53333333333333,28.191666666666666,19.53,19.430434782608696,18.656521739130437,17.42608695652174,11.408695652173913,28.05217391304348,10.747826086956522,22.303846153846152,12.98076923076923,25.833333333333332,23.743333333333332,23.53666666666667,22.603333333333335,12.814814814814815,14.466666666666667,10.55185185185185,19.489655172413794,15.37142857142857,24.174074074074074,
12-13,31.76666666666667,28.358333333333334,19.285,22.969565217391303,18.382608695652173,17.47826086956522,11.64782608695652,28.09130434782609,10.465217391304348,22.234615384615385,13.03076923076923,25.496666666666666,23.790000000000003,23.526666666666664,22.36,12.822222222222221,14.8,10.433333333333334,19.56551724137931,15.464285714285714,24.31851851851852,
12-14,31.633333333333336,28.21666666666667,18.82,24.05652173913043,17.82608695652174,17.31304347826087,11.860869565217392,28.221739130434784,10.273913043478261,22.20384615384615,12.903846153846153,24.720000000000002,23.826666666666664,23.626666666666665,22.116666666666667,12.77037037037037,15.011111111111111,10.518518518518519,19.675862068965518,15.510714285714286,24.4,
12-15,31.53333333333333,27.59166666666667,18.425,25.330434782608698,17.791304347826088,17.226086956521737,11.88695652173913,28.152173913043477,10.230434782608697,22.126923076923074,12.865384615384615,24.259999999999998,23.84,24.813333333333333,21.94333333333333,12.785185185185185,15.203703703703704,10.61111111111111,19.599999999999998,15.667857142857143,24.34444444444444,
12-16,31.333333333333332,26.858333333333334,18.17,25.043478260869566,17.75,17.243478260869566,12.1,27.37826086956522,10.156521739130435,21.984615384615385,12.796153846153846,24.03666666666667,23.766666666666666,25.06,21.80666666666667,12.829629629629629,15.322222222222221,10.714814814814815,19.693103448275863,15.667857142857143,24.325925925925926,
12-17,31.099999999999998,25.71666666666667,17.994999999999997,24.669565217391302,17.547826086956523,17.07391304347826,12.121739130434783,27.35217391304348,10.108695652173912,22.092307692307692,12.796153846153846,23.779999999999998,23.76,25.046666666666667,21.436666666666667,12.944444444444445,15.377777777777778,10.825925925925926,19.775862068965516,15.717857142857143,24.274074074074072,
12-18,30.833333333333332,25.191666666666666,17.869999999999997,23.756521739130434,17.59130434782609,16.830434782608698,12.334782608695651,27.339130434782607,10.065217391304348,22.01153846153846,12.884615384615385,23.62,23.833333333333332,25.013333333333332,21.353333333333335,13.07037037037037,15.329629629629629,10.896296296296295,19.775862068965516,15.74642857142857,24.314814814814813,
12-19,30.633333333333336,24.783333333333335,18.779999999999998,22.782608695652176,17.752173913043478,16.81304347826087,12.343478260869563,27.382608695652173,9.956521739130435,21.53846153846154,12.788461538461538,23.55666666666667,23.92,24.95,21.209999999999997,13.107407407407406,15.292592592592591,10.992592592592594,19.806896551724137,15.732142857142858,24.437037037037037,
12-20,30.7,24.224999999999998,19.3,22.3,17.952173913043477,16.90434782608696,12.421739130434782,27.482608695652175,9.795652173913044,21.31153846153846,12.607692307692307,23.563333333333333,23.96333333333333,24.973333333333336,21.153333333333332,13.062962962962963,15.296296296296296,11.092592592592593,19.810344827586206,15.807142857142859,24.548148148148147,
12-21,30.866666666666664,23.05,19.815,22.152173913043477,18.065217391304348,16.956521739130434,12.48695652173913,27.44347826086957,9.652173913043478,21.165384615384614,12.542307692307693,28.85,24.086666666666666,25.040000000000003,21.029999999999998,13.133333333333335,15.348148148148148,11.27037037037037,19.75172413793103,15.835714285714285,24.644444444444442,
12-22,30.799999999999997,22.724999999999998,22.005000000000003,22.14782608695652,18.017391304347825,17.108695652173914,12.595652173913043,27.41304347826087,9.243478260869566,21.1,12.676923076923078,29.133333333333333,24.209999999999997,25.02,20.903333333333332,13.15925925925926,15.444444444444445,11.31111111111111,19.862068965517242,15.835714285714285,24.71851851851852,
12-23,30.566666666666666,22.241666666666664,21.994999999999997,22.152173913043477,18.069565217391304,17.26521739130435,12.660869565217391,27.400000000000002,9.030434782608696,21.084615384615386,12.8,28.5,24.36,25.0,20.94,13.203703703703704,16.2375,11.3,20.02758620689655,15.896428571428572,24.796296296296298,
12-24,30.53333333333333,21.775000000000002,22.005000000000003,22.204347826086956,18.178260869565218,17.330434782608698,12.482608695652175,27.400000000000002,8.904347826086957,21.084615384615386,12.865384615384615,27.916666666666668,24.466666666666665,25.013333333333332,20.886666666666667,13.222222222222221,15.633333333333335,11.162962962962963,20.120689655172413,15.964285714285714,24.703703703703702,
